date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2017-07-01,2017-7,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2017-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2017-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2017-11-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2017-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2018-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2018-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2018-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2018-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2018-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,
2018-06-01,2018-6,150.0,1.0,0.006666666666666667,0.0,0.0,0.0,150.0,1.0,0.0,0.7920133477433228,,0.7920133477433228,0.7920133477433228,80.17431269813743,91.08233904673409,80.17431269813743
2018-07-01,2018-7,399.0,0.0,0.0,0.0,0.0,0.0,399.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
